"Sample_id","Institution_specimen_id","Spp_code","new_id","primary_collector","collector_lastname","collector_firstname","collector_full_string","collector_string","location_string","Country","State","County_fixed","County","Municipality","Locality","hand_georef_lat","hand_georef_lon","year","month","day","tissue_type","seed_scored","seed_eplus","Endo_status_liberal","Endo_status_conservative","Date_scored","scorer_id","score_number","surface_area_cm2","mean_infl_length","mean_inflplusawn_length","infl_count","scorer_factor","collector_factor","county_label","lon","lat","type","loctype","address","north","south","east","west","Herb_code","spp_code","specimen_code","tissue_code"
"AM_ELVI_146","TAES211303","ELVI","TAES211303","Damuth","Damuth","Damuth","Damuth Damuth","D Damuth","Nacogdoches County, Texas, USA","USA","Texas","Nacogdoches County","Nacogdoches",NA,NA,NA,NA,1988,7,6,"seed",5,0,0,0,"02/28/2020","BellaGutierrez",1,NA,NA,NA,NA,"Scorer3","Collector187"," County",-94.645035,31.6353071,"administrative_area_level_2","approximate","nacogdoches county, tx, usa",31.8455549,31.2227761,-94.3000379,-94.97816,"AM","ELVI",146,NA
"AM_ELVI_180","TAES211305","ELVI","TAES211305","E. S. Nixon","Nixon","E.","E. Nixon","E Nixon","Trinity County, Texas, United States","United States","Texas","Trinity County","Trinity",NA,NA,NA,NA,1988,6,8,"seed",5,5,1,1,"03/30/2020","EllaSegal",1,NA,NA,NA,NA,"Scorer10","Collector261"," County",-95.1432068,31.0687648,"administrative_area_level_2","approximate","trinity county, tx, usa",31.38693,30.8245659,-94.842947,-95.434781,"AM","ELVI",180,NA
"BRIT_AGHY_104","PaulMMcKenzie895","AGHY","PaulMMcKenzie895","Paul M. McKenzie","McKenzie","Paul","Paul McKenzie","P McKenzie","Sun, St. Tammy Parish, Louisiana, USA","USA","Louisiana","St. Tammy Parish","St. Tammy","Sun","Roadside median of La. Hwy. 21, ca. 1 mi. N of the jct. with La. Rt. 41, near the Bogue Chitto River, S of Sun",NA,NA,1988,4,23,"seed",5,2,1,1,"12/12/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector672"," Parish",-89.8925736,30.6490783,"locality","approximate","sun, la, usa",30.664044,30.634579,-89.877271,-89.9371171,"BRIT","AGHY",104,NA
"BRIT_AGHY_15","Sundell&Etheridge8147","AGHY","Sundell&Etheridge8147","Sundell ","Sundell","Sundell","Sundell Sundell","S Sundell","Harrell, Calhoun County, Arkansas, USA","USA","Arkansas","Calhoun County","Calhoun","Harrell","2 miles S. of Harrell. Recent clearcut.",NA,NA,1988,5,9,"seed",5,3,1,1,"12/12/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector824"," County",-92.4002235,33.5112307,"locality","approximate","harrell, ar, usa",33.515327,33.5044081,-92.393475,-92.406651,"BRIT","AGHY",15,NA
"BRIT_AGHY_251","BRIT174077","AGHY","BRIT174077","R. Kral","Kral","R.","R. Kral","R Kral","Covington County, Alabama, United States","United States","Alabama","Covington County","Covington",NA,"Sandy peat shores of Open Pond, Open Pond Campsite, Conecuh Nat. Forest.",NA,NA,1988,4,8,"seed",5,0,0,0,"12/12/2019","LaniDufresne",1,188.733,NA,NA,NA,"Scorer19","Collector720"," County",-86.4996546,31.3066438,"administrative_area_level_2","approximate","covington county, al, usa",31.5286041,30.9932579,-86.1868761,-86.702791,"BRIT","AGHY",251,NA
"BRIT_AGHY_321","BRIT255565","AGHY","BRIT255565","A. Brant","Brant","A.","A. Brant","A Brant","Clinton County, Illinois, United States","United States","Illinois","Clinton County","Clinton",NA,"bordering Eldon Hazlet State Park, W side of Lake Carlyle",38.663208,-89.33091,1988,6,3,"seed",5,5,1,1,"12/12/2019","LaniDufresne",1,108.95,NA,NA,NA,"Scorer19","Collector9"," County",-89.6251646,38.5684442,"administrative_area_level_2","approximate","clinton county, il, usa",38.743236,38.4157789,-89.138337,-89.7069491,"BRIT","AGHY",321,NA
"BRIT_AGHY_485","NLU0384765","AGHY","NLU0384765","R. Dale Thomas","Thomas","R.","R. Thomas","R Thomas","Ouachita County, Arkansas, United States","United States","Arkansas","Ouachita County","Ouachita",NA,"Wet area around oil wells just N of Smackover Creek and just N of the Union Co Line. north of Smackover, Ark.",NA,NA,1988,5,12,"seed",5,5,1,1,"12/12/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector766"," County",-92.9375739,33.5828512,"administrative_area_level_2","approximate","ouachita county, ar, usa",33.8225439,33.3558189,-92.5662839,-93.118951,"BRIT","AGHY",485,NA
"BRIT_AGHY_519","NLU0384722","AGHY","NLU0384722","R. Dale Thomas","Thomas","R.","R. Thomas","R Thomas","Union County, Arkansas, United States","United States","Arkansas","Union County","Union",NA,"Clearcut pine woods beside La. 129 at the Louisiana State Line south of Huttig, Ark. and north of Marion, La.",NA,NA,1988,4,24,"seed",5,1,1,0,"12/12/2019","LaniDufresne",1,200.462,NA,NA,NA,"Scorer19","Collector766"," County",-92.539603,33.1431092,"administrative_area_level_2","approximate","union county, ar, usa",33.3878929,33.00799,-92.06893,-92.9887749,"BRIT","AGHY",519,NA
"BRIT_AGHY_521","NLU0384720","AGHY","NLU0384720","R. Dale Thomas","Thomas","R.","R. Thomas","R Thomas","Union County, Arkansas, United States","United States","Arkansas","Union County","Union",NA,"Bethel Methodist Church Cemetery on west side of U.S. 167 south of El Dorado and 1.6 miles north of Ark. 7 turnoff.",NA,NA,1988,4,24,"seed",5,5,1,1,"12/12/2019","LaniDufresne",1,130.326,NA,NA,NA,"Scorer19","Collector766"," County",-92.539603,33.1431092,"administrative_area_level_2","approximate","union county, ar, usa",33.3878929,33.00799,-92.06893,-92.9887749,"BRIT","AGHY",521,NA
"BRIT_AGHY_529","NLU0384708","AGHY","NLU0384708","A. Brant","Brant","A.","A. Brant","A Brant","Clinton County, Illinois, United States","United States","Illinois","Clinton County","Clinton",NA,"bordering Eldon Hazlet State Park, W side of Lake Carlyle",38.663208,-89.33091,1988,6,3,"seed",5,5,1,1,"12/12/2019","LaniDufresne",1,158.398,NA,NA,NA,"Scorer19","Collector9"," County",-89.6251646,38.5684442,"administrative_area_level_2","approximate","clinton county, il, usa",38.743236,38.4157789,-89.138337,-89.7069491,"BRIT","AGHY",529,NA
"BRIT_AGHY_545","NLU0384919","AGHY","NLU0384919","R.E. Gereau","Gereau","R.E.","R.E. Gereau","R Gereau","Madison County, Missouri, United States","United States","Missouri","Madison County","Madison",NA,"T33N, R5E, SE 1/4 SE 1/4, Sec. 12; Mark Twain National Forest, Silver Mines Recreational Site; ca. 300 m N of parking area on E side of St. Francis River, in dry woods with much exposed granite under Carya texana, Pinus echinata, and Ulmus alata.",NA,NA,1988,5,29,"seed",5,0,0,0,"12/12/2019","LaniDufresne",1,25.211,NA,NA,NA,"Scorer19","Collector705"," County",-90.3748354,37.5528602,"administrative_area_level_2","approximate","madison county, mo, usa",37.643641,37.312091,-90.138536,-90.549729,"BRIT","AGHY",545,NA
"BRIT_AGHY_568","NLU0384948","AGHY","NLU0384948","S. Jones","Jones","S.","S. Jones","S Jones","Brazos County, Texas, United States","United States","Texas","Brazos County","Brazos",NA,"NW side of Barak Lane in Bryan ca. 200 m SW from Plainsman.",NA,NA,1988,5,8,"seed",5,0,0,0,"12/12/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector807"," County",-96.3226072,30.6504141,"administrative_area_level_2","approximate","brazos county, tx, usa",30.9737371,30.3302879,-96.0799691,-96.601854,"BRIT","AGHY",568,NA
"BRIT_AGPE_66","BRIT255831","AGPE","BRIT255831",NA,NA,NA,"NA NA",NA,"Ouachita County, Arkansas, USA","USA","Arkansas","Ouachita County","Ouachita",NA,NA,NA,NA,1988,NA,NA,"seed",5,0,0,0,"10/29/2020","LaniDufresne",1,NA,NA,NA,NA,"Scorer19",NA," County",-92.9375739,33.5828512,"administrative_area_level_2","approximate","ouachita county, ar, usa",33.8225439,33.3558189,-92.5662839,-93.118951,"BRIT","AGPE",66,NA
"BRIT_ELVI_323","NLU0399462","ELVI","NLU0399462","R. Dale Thomas","Thomas","R.","R. Thomas","R Thomas","Bossier Parish, Louisiana, United States","United States","Louisiana","Bossier Parish","Bossier",NA,"Tidwell Branch on Bodcau Wildlife Management Area north of Bellevue",NA,NA,1988,8,26,"seed",2,2,1,1,"10/20/2020","EllaSegal",1,110.421,9.533,11.151,1,"Scorer10","Collector766"," Parish",-93.6623239,32.7551322,"administrative_area_level_2","approximate","bossier parish, la, usa",33.0194909,32.2351388,-93.372722,-93.845224,"BRIT","ELVI",323,NA
"BRIT_ELVI_452","NLU0399324","ELVI","NLU0399324","T. F. Wieboldt","Wieboldt","T.","T. Wieboldt","T Wieboldt","Botetourt County, Virginia, United States","United States","Virginia","Botetourt County","Botetourt",NA,"Rank weedy area: flood-scoured zone. Along James River just below Hwy 220 bridge south of Iron Gate, Va.",NA,NA,1988,8,11,"seed",5,1,1,0,"10/20/2020","EllaSegal",1,166.419,9.809,11.719,1,"Scorer10","Collector855"," County",-79.7848422,37.5774613,"administrative_area_level_2","approximate","botetourt county, va, usa",37.8009731,37.3093519,-79.498699,-80.074119,"BRIT","ELVI",452,NA
"KANU_AGHY_102","KANU0070212","AGHY","KANU0070212","Craig C Freeman","Freeman","Craig","Craig Freeman","C Freeman","Douglas County, Kansas, United States","United States","Kansas","Douglas County","Douglas",NA,"Baldwin City, ca 2 mi NNW, Baldwin Woods",NA,NA,1988,6,5,"seed",4,2,1,0,"11/1/2022","NicoleImming",1,NA,NA,NA,NA,"Scorer21","Collector127"," County",-95.2684437,38.9107835,"administrative_area_level_2","approximate","douglas county, ks, usa",39.069783,38.738265,-95.0558479,-95.5019001,"KANU","AGHY",102,NA
"KANU_AGHY_85","KANU0070213","AGHY","KANU0070213","Ronald L McGregor","McGregor","Ronald","Ronald McGregor","R McGregor","Washington County, Kansas, United States","United States","Kansas","Washington County","Washington",NA,"Washington County State Lake",39.933837,-97.120646,1988,6,6,"seed",5,0,0,0,"11/8/22","PatriciaBilderback",1,NA,NA,NA,NA,"Scorer22","Collector726"," County",-97.179026,39.8413319,"administrative_area_level_2","approximate","washington county, ks, usa",40.002034,39.566345,-96.805693,-97.369244,"KANU","AGHY",85,NA
