"Sample_id","Institution_specimen_id","Spp_code","new_id","primary_collector","collector_lastname","collector_firstname","collector_full_string","collector_string","location_string","Country","State","County_fixed","County","Municipality","Locality","hand_georef_lat","hand_georef_lon","year","month","day","tissue_type","seed_scored","seed_eplus","Endo_status_liberal","Endo_status_conservative","Date_scored","scorer_id","score_number","surface_area_cm2","mean_infl_length","mean_inflplusawn_length","infl_count","scorer_factor","collector_factor","county_label","lon","lat","type","loctype","address","north","south","east","west","Herb_code","spp_code","specimen_code","tissue_code"
"BRIT_AGHY_369","BRIT255925","AGHY","BRIT255925","R. D. Worthington","Worthington","R.","R. Worthington","R Worthington","Jeff Davis County, Texas, United States","United States","Texas","Jeff Davis County","Jeff Davis",NA,"Davis Mts., Madera Canyon at roadside park along hwy. 118 (30 Deg 42'20""N 104 Deg 06'W) 5800 ft., at stream",30.705,-104.1,1994,6,25,"seed",5,0,0,0,"12/12/2019","LaniDufresne",1,43.34,NA,NA,NA,"Scorer19","Collector778"," County",-104.1930918,30.750805,"administrative_area_level_2","approximate","jeff davis county, tx, usa",31.1052031,30.4121899,-103.439976,-104.9798009,"BRIT","AGHY",369,NA
"BRIT_AGHY_483_a","NLU0384767","AGHY","NLU0384767","R. Dale Thomas","Thomas","R.","R. Thomas","R Thomas","Yell County, Arkansas, United States","United States","Arkansas","Yell County","Yell",NA,"Top of mountain at overlook beside Ark 7 about 1.7 miles north of the Perry County Line south of Ola. Sec. 13.",NA,NA,1994,5,22,"seed",5,5,1,1,"12/12/2019","LaniDufresne",1,203.164,NA,NA,NA,"Scorer19","Collector766"," County",-93.3388917,35.0810824,"administrative_area_level_2","approximate","yell county, ar, usa",35.312436,34.743318,-92.9009109,-93.709992,"BRIT","AGHY",483,"a"
"BRIT_AGPE_124","BRIT255894","AGPE","BRIT255894",NA,NA,NA,"NA NA",NA,"Grant County, West Virginia, USA","USA","West Virginia","Grant County","Grant",NA,NA,NA,NA,1994,NA,NA,"seed",5,4,1,1,"10/29/2020","LaniDufresne",1,NA,NA,NA,NA,"Scorer19",NA," County",-79.1548533,39.1042079,"administrative_area_level_2","approximate","grant county, wv, usa",39.327999,38.8133399,-78.979898,-79.487175,"BRIT","AGPE",124,NA
"BRIT_AGPE_131","NLU0384285","AGPE","NLU0384285",NA,NA,NA,"NA NA",NA,"Bossier Parish, Louisiana, USA","USA","Louisiana","Bossier Parish","Bossier",NA,NA,NA,NA,1994,NA,NA,"seed",6,4,1,1,"10/29/2020","LaniDufresne",1,NA,NA,NA,NA,"Scorer19",NA," Parish",-93.6623239,32.7551322,"administrative_area_level_2","approximate","bossier parish, la, usa",33.0194909,32.2351388,-93.372722,-93.845224,"BRIT","AGPE",131,NA
"BRIT_ELVI_357","NLU0399494","ELVI","NLU0399494","R. Dale Thomas","Thomas","R.","R. Thomas","R Thomas","Madison Parish Parish, Louisiana, United States","United States","Louisiana","Madison Parish Parish","Madison Parish",NA,"Tensas River National Wildlife Refuge. Woods and open area at game check point south of Alligator Bayou and west of Mothingham Bayou west of U.S. 65 south of Tallulah; Sec. 12, T15N R11E.",NA,NA,1994,7,27,"seed",5,5,1,1,"10/20/2020","EllaSegal",1,31.851,4.3415,6.0265,2,"Scorer10","Collector766"," Parish",-91.2891036,32.4401578,"administrative_area_level_2","approximate","madison parish, la, usa",32.562558,32.1203529,-90.875621,-91.5572949,"BRIT","ELVI",357,NA
"KANU_AGHY_100","KANU00110935","AGHY","KANU00110935","Robert E Russell","Russell","Robert","Robert Russell","R Russell","Osage County, Kansas, United States","United States","Kansas","Osage County","Osage",NA,"Lyndon, 1 mi S",38.583318,-95.688223,1994,6,16,"seed",4,0,0,0,"11/1/2022","NicoleImming",1,NA,NA,NA,NA,"Scorer21","Collector753"," County",-95.6457951,38.6009003,"administrative_area_level_2","approximate","osage county, ks, usa",38.870054,38.4335441,-95.500439,-95.950282,"KANU","AGHY",100,NA
"KANU_AGHY_83","KANU00116118","AGHY","KANU00116118","Jennifer Milburn","Milburn","Jennifer","Jennifer Milburn","J Milburn","Miami County, Kansas, United States","United States","Kansas","Miami County","Miami",NA,"7.75 mi S Hwy 68, 3.5 mi W Missouri state line",38.51246,-94.686244,1994,6,6,"seed",5,0,0,0,"11/2/22","PatriciaBilderback",1,NA,NA,NA,NA,"Scorer22","Collector449"," County",-94.8105955,38.6381689,"administrative_area_level_2","approximate","miami county, ks, usa",38.7386361,38.3887181,-94.60908,-95.066041,"KANU","AGHY",83,NA
"KANU_AGHY_83","KANU00116118","AGHY","KANU00116118","Jennifer Milburn","Milburn","Jennifer","Jennifer Milburn","J Milburn","Miami County, Kansas, United States","United States","Kansas","Miami County","Miami",NA,"7.75 mi S Hwy 68, 3.5 mi W Missouri state line",38.51246,-94.686244,1994,6,6,"seed",4,0,0,0,"11/9/2022","NicoleImming",2,NA,NA,NA,NA,"Scorer21","Collector449"," County",-94.8105955,38.6381689,"administrative_area_level_2","approximate","miami county, ks, usa",38.7386361,38.3887181,-94.60908,-95.066041,"KANU","AGHY",83,NA
"KANU_AGHY_84","KANU00116117","AGHY","KANU00116117","Jennifer Milburn","Milburn","Jennifer","Jennifer Milburn","J Milburn","Miami County, Kansas, United States","United States","Kansas","Miami County","Miami",NA,"6 mi S Hwy 68, 6 mi W MO state line",NA,NA,1994,6,6,"seed",5,0,0,0,"11/8/22","PatriciaBilderback",1,NA,NA,NA,NA,"Scorer22","Collector449"," County",-94.8105955,38.6381689,"administrative_area_level_2","approximate","miami county, ks, usa",38.7386361,38.3887181,-94.60908,-95.066041,"KANU","AGHY",84,NA
"LL_AGPE_62","LarryEBrown18167","AGPE","LarryEBrown18167","L. E. Brown","Brown","L.","L. Brown","L Brown","Liberty County, Texas, USA","USA","Texas","Liberty County","Liberty",NA,NA,NA,NA,1994,9,9,"seed",6,6,1,1,"10/01/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector526"," County",-94.8105955,30.1633593,"administrative_area_level_2","approximate","liberty county, tx, usa",30.493553,29.8842761,-94.442235,-95.165897,"LL","AGPE",62,NA
