"Sample_id","Institution_specimen_id","Spp_code","new_id","primary_collector","collector_lastname","collector_firstname","collector_full_string","collector_string","location_string","Country","State","County_fixed","County","Municipality","Locality","hand_georef_lat","hand_georef_lon","year","month","day","tissue_type","seed_scored","seed_eplus","Endo_status_liberal","Endo_status_conservative","Date_scored","scorer_id","score_number","surface_area_cm2","mean_infl_length","mean_inflplusawn_length","infl_count","scorer_factor","collector_factor","county_label","lon","lat","type","loctype","address","north","south","east","west","Herb_code","spp_code","specimen_code","tissue_code"
"AM_AGHY_83","TAES190444","AGHY","TAES190444","Charles T. Bryson","Bryson","Charles","Charles Bryson","C Bryson","Oktibbeha County, Mississippi, United States","United States","Mississippi","Oktibbeha County","Oktibbeha",NA,NA,NA,NA,1989,5,16,"seed",5,5,1,1,"12/12/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector112"," County",-88.90306,33.3886689,"administrative_area_level_2","approximate","oktibbeha county, ms, usa",33.5654431,33.286003,-88.6690068,-89.088662,"AM","AGHY",83,NA
"AM_ELVI_122","TAES207459","ELVI","TAES207459","Lance J. Wenmohs","Wenmohs","Lance","Lance Wenmohs","L Wenmohs","Lampasas, Hancock Park golf course, Lampasas County, Texas, United States","United States","Texas","Lampasas County","Lampasas","Lampasas, Hancock Park golf course","Lampasas, Hancock Park golf course",NA,NA,1989,4,8,"seed",5,1,0,1,"02/28/2020","BellaGutierrez",1,NA,NA,NA,NA,"Scorer3","Collector572"," County",-98.1837513,31.0506585,"establishment","rooftop","700 naruna rd, lampasas, tx 76550, usa",31.0519773302915,31.0492793697085,-98.1822883197085,-98.1849862802915,"AM","ELVI",122,NA
"AM_ELVI_122","TAES207459","ELVI","TAES207459","L. J. Wenmohs","Wenmohs","L.","L. Wenmohs","L Wenmohs","Lampasas County, Texas, United States","United States","Texas","Lampasas County","Lampasas",NA,NA,NA,NA,1989,4,8,"seed",5,1,0,1,"02/28/2020","BellaGutierrez",1,NA,NA,NA,NA,"Scorer3","Collector572"," County",-98.2212979,31.2737682,"administrative_area_level_2","approximate","lampasas county, tx, usa",31.4637169,31.0296469,-97.9071001,-98.5696449,"AM","ELVI",122,NA
"BRIT_AGHY_131","RAThompsonRRudmanFLJohnsonS0555","AGHY","RAThompsonRRudmanFLJohnsonS0555","R. A. Thompson, R. Rudman, ","Rudman,","R.","R. Rudman,","R Rudman,","Comanche County, Oklahoma, USA","USA","Oklahoma","Comanche County","Comanche",NA,"Prairie Preserve. Parent rock: Shale. Soil: Foard silt loam. Topography: level upland. Vegetation: Bluestem Prairie.",NA,NA,1989,6,6,"seed",5,5,1,1,"12/12/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector752"," County",-98.3964938,34.6612778,"administrative_area_level_2","approximate","comanche county, ok, usa",34.855595,34.405948,-98.088978,-98.826323,"BRIT","AGHY",131,NA
"BRIT_AGHY_235","BRIT174433","AGHY","BRIT174433","R. Kral","Kral","R.","R. Kral","R Kral","Wilson County, Tennessee, United States","United States","Tennessee","Wilson County","Wilson",NA,"Disturbed limestone glade immediately S of 1-40 and E of its jct. with US 70, s.e. of Lebanon",NA,NA,1989,6,2,"seed",5,5,1,1,"12/12/2019","LaniDufresne",1,199.357,NA,NA,NA,"Scorer19","Collector720"," County",-86.2970998,36.1626241,"administrative_area_level_2","approximate","wilson county, tn, usa",36.358063,35.954399,-86.014849,-86.595439,"BRIT","AGHY",235,NA
"BRIT_AGHY_346_a","BRIT255592","AGHY","BRIT255592","Daniel T. Carraway","Carraway","Daniel","Daniel Carraway","D Carraway","Jasper County, Mississippi, United States","United States","Mississippi","Jasper County","Jasper",NA,"Tallahala Wildlife Management Area, ca 1 mile S of Randall Hill Cemetary SW4 of SE4 Sec. 13 T4N R10E.",NA,NA,1989,4,17,"seed",5,0,0,0,"12/12/2019","LaniDufresne",1,176.407,NA,NA,NA,"Scorer19","Collector182"," County",-89.1705998,32.0810429,"administrative_area_level_2","approximate","jasper county, ms, usa",32.224381,31.80209,-88.9104288,-89.322729,"BRIT","AGHY",346,"a"
"BRIT_AGHY_39","RAThompsonFLJohnsonC0591","AGHY","RAThompsonFLJohnsonC0591","R. A. Thompson, R. Rudman, ","Rudman,","R.","R. Rudman,","R Rudman,","Sebastian County, Arkansas, USA","USA","Arkansas","Sebastian County","Sebastian",NA,"NE of intersection, Ft. Smith Blvd & Auburn Rd. Parent rock: Shale. Soil: Wing silt loam. Topography: level upland. Wegetation: Old Field. Associates: Ulmus crassifolia, Smilaz bona-nox, Rhus copallina, Lonicera japonica.",NA,NA,1989,5,27,"seed",5,5,1,1,"12/12/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector752"," County",-94.315422,35.2260397,"administrative_area_level_2","approximate","sebastian county, ar, usa",35.45115,34.9307061,-94.0288721,-94.4477695,"BRIT","AGHY",39,NA
"BRIT_AGHY_390","NLU0383915","AGHY","NLU0383915","Nelywn M. Gilmore","Gilmore","Nelywn","Nelywn Gilmore","N Gilmore","Cameron Parish, Louisiana, United States","United States","Louisiana","Cameron Parish","Cameron",NA,"Grazed coastal prarie with scattered large pimple mounds, ca. 3 mi SW of Hackberry.",NA,NA,1989,5,2,"seed",5,5,1,1,"12/12/2019","LaniDufresne",1,35.583,NA,NA,NA,"Scorer19","Collector627"," Parish",-93.1779659,29.8434436,"administrative_area_level_2","approximate","cameron parish, la, usa",30.0527089,29.5271029,-92.614565,-93.929208,"BRIT","AGHY",390,NA
"BRIT_AGHY_419","NLU0383981","AGHY","NLU0383981","R. Dale Thomas","Thomas","R.","R. Thomas","R Thomas","Natchitoches Parish, Louisiana, United States","United States","Louisiana","Natchitoches Parish","Natchitoches",NA,"Field beside La. 6 at Grand Encore north of Natchitoches and south of the Red River; Sec. 51,T10N, R7W.",NA,NA,1989,5,12,"seed",5,0,0,0,"12/12/2019","LaniDufresne",1,191.865,NA,NA,NA,"Scorer19","Collector766"," Parish",-93.1779659,31.6801229,"administrative_area_level_2","approximate","natchitoches parish, la, usa",32.1485241,31.3467331,-92.71619,-93.4416889,"BRIT","AGHY",419,NA
"BRIT_AGHY_540","NLU0384992","AGHY","NLU0384992","Charles T. Bryson","Bryson","Charles","Charles Bryson","C Bryson","Oktibbeha County, Mississippi, United States","United States","Mississippi","Oktibbeha County","Oktibbeha",NA,"0.5 mi. nw Sturgis, Sec 8, ""Hannah Hill"".",NA,NA,1989,5,16,"seed",5,5,1,1,"12/12/2019","LaniDufresne",1,130.967,NA,NA,NA,"Scorer19","Collector112"," County",-88.90306,33.3886689,"administrative_area_level_2","approximate","oktibbeha county, ms, usa",33.5654431,33.286003,-88.6690068,-89.088662,"BRIT","AGHY",540,NA
