"Sample_id","Institution_specimen_id","Spp_code","new_id","primary_collector","collector_lastname","collector_firstname","collector_full_string","collector_string","location_string","Country","State","County_fixed","County","Municipality","Locality","hand_georef_lat","hand_georef_lon","year","month","day","tissue_type","seed_scored","seed_eplus","Endo_status_liberal","Endo_status_conservative","Date_scored","scorer_id","score_number","surface_area_cm2","mean_infl_length","mean_inflplusawn_length","infl_count","scorer_factor","collector_factor","county_label","lon","lat","type","loctype","address","north","south","east","west","Herb_code","spp_code","specimen_code","tissue_code"
"AM_AGHY_15","TAES266762","AGHY","TAES266762","S. L. Hatch","Hatch","S.","S. Hatch","S Hatch","Falls County, Texas, United States","United States","Texas","Falls County","Falls",NA,"E of Martin along Hwy 7.",NA,NA,2005,4,22,"seed",5,0,0,0,"12/12/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector800"," County",-97.0068393,31.1636412,"administrative_area_level_2","approximate","falls county, tx, usa",31.522269,30.986031,-96.596862,-97.278113,"AM","AGHY",15,NA
"AM_ELVI_37","TAES253327","ELVI","TAES253327","Stephan L. Hatch","Hatch","Stephan","Stephan Hatch","S Hatch","Natchez Trace Park, Chickasaw County, Mississippi, United States","United States","Mississippi","Chickasaw County","Chickasaw","Natchez Trace Park","Natchez Trace Parkway, Site number = 342;  Mile Marker = 224/225",NA,NA,2005,7,12,"stem",5,5,1,1,"02/25/2020","EllaSegal",1,NA,NA,NA,NA,"Scorer10","Collector800"," County",-88.9458102,33.9035688,"route","geometric_center","natchez trace pkwy, mississippi, usa",34.0751239,33.7385709,-88.8703375,-89.0276061,"AM","ELVI",37,NA
"BRIT_AGHY_213_a","BRIT13172","AGHY","BRIT13172","R. J. O'Kennon","O'Kennon","R.","R. O'Kennon","R O'Kennon","Wise County, Texas, United States","United States","Texas","Wise County","Wise",NA,"LBJ National Grasslands, Unit 71. Growing in deep loose sand. Research site: LBJ National Grasslands",33.301797,-97.615241,2005,5,29,"seed",4,4,1,1,"12/12/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector733"," County",-97.6982272,33.2895861,"administrative_area_level_2","approximate","wise county, tx, usa",33.4340569,32.990839,-97.383015,-97.9216421,"BRIT","AGHY",213,"a"
"BRIT_AGPE_115","BRIT255885","AGPE","BRIT255885",NA,NA,NA,"NA NA",NA,"Greenville County, South Carolina, USA","USA","South Carolina","Greenville County","Greenville",NA,NA,NA,NA,2005,NA,NA,"seed",6,6,1,1,"10/29/2020","LaniDufresne",1,NA,NA,NA,NA,"Scorer19",NA," County",-82.345189,34.9297484,"administrative_area_level_2","approximate","greenville county, sc, usa",35.2155401,34.484335,-82.145587,-82.764109,"BRIT","AGPE",115,NA
"KANU_AGHY_103","KANU00350416","AGHY","KANU00350416","Craig C Freeman","Freeman","Craig","Craig Freeman","C Freeman","Pottawatomie County, Kansas, United States","United States","Kansas","Pottawatomie County","Pottawatomie",NA,"Blaine, 0.5 mi S; Mounta Calvary Cemetery",39.4872222,-96.4094444,2005,6,21,"seed",5,3,1,1,"11/1/2022","NicoleImming",1,NA,NA,NA,NA,"Scorer21","Collector127"," County",-96.3226072,39.3976344,"administrative_area_level_2","approximate","pottawatomie county, ks, usa",39.566344,39.126527,-96.0346121,-96.727743,"KANU","AGHY",103,NA
"KANU_AGHY_104","KANU00352515","AGHY","KANU00352515","Iralee Barnard","Barnard","Iralee","Iralee Barnard","I Barnard","Chase County, Kansas, United States","United States","Kansas","Chase County","Chase",NA,"Tallgrass Prairie National Preserve",38.4375,-96.5797222,2005,5,31,"seed",4,1,1,0,"11/1/2022","NicoleImming",1,NA,NA,NA,NA,"Scorer21","Collector390"," County",-96.5783387,38.3007661,"administrative_area_level_2","approximate","chase county, ks, usa",38.522473,38.085554,-96.35362,-96.841274,"KANU","AGHY",104,NA
"KANU_AGPE_20","KANU00352722","AGPE","KANU00352722","C. A. Morse","C. A. Morse","C. A. Morse","C. A. Morse C. A. Morse","C C. A. Morse","Crestline, Cherokee County, Kansas, USA","USA","Kansas","Cherokee County","Cherokee","Crestline","Jct of US Hwy 69 & KS Hwy 96 at Crestline, 4.75 mi S, 2.75 mi E",37.1077,-94.655,2005,9,28,"seed",6,1,1,0,"4/21/23","DavidWoods",1,NA,NA,NA,NA,"Scorer8","Collector113"," County",-94.7043982,37.1708926,"locality","approximate","crestline, ks, usa",37.177909,37.1628849,-94.6858629,-94.722673,"KANU","AGPE",20,NA
"KANU_ELVI_118","KANU00351642","ELVI","KANU00351642","Caleb A Morse","Morse","Caleb","Caleb Morse","C Morse","Chariton County, Missouri, United States","United States","Missouri","Chariton County","Chariton",NA,"Sumner, ca 3.5 mi S, 5 mi E; Swan Lake National Wildlife Refuge, E side of Silver Lake",39.607,-93.1522,2005,7,14,"seed",5,1,1,0,"11/1/2023","FaithHill",1,NA,NA,NA,NA,"Scorer13","Collector149"," County",-93.0175712,39.5301517,"administrative_area_level_2","approximate","chariton county, mo, usa",39.706714,39.221865,-92.689328,-93.287621,"KANU","ELVI",118,NA
"LL_AGHY_15_a","LL00210801","AGHY","00210801","William R. Carr","Carr","William","William Carr","W Carr","Jeff Davis County, Texas, United States","United States","Texas","Jeff Davis County","Jeff Davis",NA,"Along Cherry Creek downstream from (N of) Big Rock and mouth of Willow Canyon. Cherry Canyon Ranch. Buckhorn Mountain Quadrangle.",30.87767,-104.04439,2005,5,31,"seed",5,0,0,0,"10/01/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector885"," County",-104.1930918,30.750805,"administrative_area_level_2","approximate","jeff davis county, tx, usa",31.1052031,30.4121899,-103.439976,-104.9798009,"LL","AGHY",15,"a"
"LSU_AGHY_14","LSU00106577","AGHY","LSU00106577","Christopher Reid","Reid","Christopher","Christopher Reid","C Reid","Cameron Parish, Louisiana, United States","United States","Louisiana","Cameron Parish","Cameron",NA,"Sabine National Wildlife Refuge; Sabine NWR, Marceaux Island, ca 1 air mi E of Sabine Lake, 1.75 mi N of Willow Bayou Canal and ca 0.5 mi E of Gray's Ditch, along small access canal.",29.902,-93.751,2005,5,10,"seed",4,4,1,1,"2/22/2022","EmmaScales",1,NA,NA,NA,NA,"Scorer12","Collector155"," Parish",-93.1779659,29.8434436,"administrative_area_level_2","approximate","cameron parish, la, usa",30.0527089,29.5271029,-92.614565,-93.929208,"LSU","AGHY",14,NA
"MO_AGHY_103","TWitsell05584","AGHY","Witsell05584","T. Witsell","Witsell","T.","T. Witsell","T Witsell","Ouachita National Forest, Saline County, Arkansas, USA","USA","Arkansas","Saline County","Saline","Ouachita National Forest","Forested channel scar depression wetland with graminoid understory.",NA,NA,2005,6,2,"seed",5,2,1,1,"4/26/2023","ChrisOxley",1,NA,NA,NA,NA,"Scorer6","Collector857"," County",-93.7029002,34.7621521,"establishment","geometric_center","ouachita national forest, hot springs, ar 71902, usa",35.0176443,34.2195487,-92.8248548,-94.9195776,"MO","AGHY",103,NA
"OKL_AGHY_46","OKL228688;01 0050465;AB-6936",NA,"OKL228688","Bruce Hoagland","Hoagland","Bruce","Bruce Hoagland","B Hoagland","Canadian County, Oklahoma, United States","United States","Oklahoma","Canadian County","Canadian",NA,"Moore; W of Moore, OK on 119th Street, just W of Canadian/Oklahoma county line at Camp Kickapoo",35.3417,-97.6715,2005,4,23,"seed",5,0,0,0,"6/14/22","BellScherick",1,NA,NA,NA,NA,"Scorer4","Collector80"," County",-98.0465185,35.5593784,"administrative_area_level_2","approximate","canadian county, ok, usa",35.726097,35.323762,-97.671345,-98.3134729,"OKL","AGHY",46,NA
"OKL_AGPE_6","OKL236862a;01 0099244;CC366",NA,"OKL236862a","Bruce Hoagland","Hoagland","Bruce","Bruce Hoagland","B Hoagland","Le Flore County, Oklahoma, United States","United States","Oklahoma","Le Flore County","Le Flore",NA,"Octavia; NE of Octavia, OK at The Nature Conservancy's Cucumber Creek Preserve",34.5634,-94.6428,2005,9,15,"seed",5,0,0,0,"11/10/22","GayatriSingla",1,NA,NA,NA,NA,"Scorer14","Collector80"," County",-94.645035,34.8622042,"administrative_area_level_2","approximate","le flore county, ok, usa",35.387431,34.507218,-94.431501,-95.059969,"OKL","AGPE",6,NA
"OKLA_AGHY_14","OKLA144220",NA,"OKLA144220","D. J. McGlinn","McGlinn","D.","D. McGlinn","D McGlinn","Osage County, Oklahoma, United States","United States","Oklahoma","Osage County","Osage",NA,NA,36.8486,-96.414,2005,5,20,"seed",5,2,1,1,"7/1/22","BellScherick",1,NA,NA,NA,NA,"Scorer4","Collector211"," County",-96.2375947,36.6189367,"administrative_area_level_2","approximate","osage county, ok, usa",36.9994141,36.1608699,-96.000557,-97.0644889,"OKLA","AGHY",14,NA
